,Unnamed: 0,Unnamed: 0_x,Unnamed: 0.1,lat,log,IMG_VIS,IMG_SWIR,Unnamed: 0_y,cot,cer,Sun_Elevation,Sat_Elevation,Sat_Azimuth,Sun_Azimuth
0,173482,173482,23185462,35.805,74.312,104,220,3452.0,1652.0,2103.0,7242.4785,4766.502,16672.78,13892.247
1,200804,200804,23320102,35.655,74.329,348,360,25121.0,1381.0,4783.0,7250.471,4784.7915,16667.371,13865.129
2,209985,209985,23365040,35.594,75.006,345,383,18411.0,629.0,533.0,7290.818,4790.2646,16787.463,13977.955
3,237145,237145,23499437,35.494,72.2,87,229,93992.0,1038.0,1340.0,7147.038,4760.65,16315.344,13320.322
4,255560,255560,23589310,35.369,73.528,362,398,84634.0,1508.0,1658.0,7209.6396,4809.357,16544.549,13580.42
5,257789,257789,23600469,35.37,72.821,132,207,99465.0,868.0,936.0,7175.075,4781.4766,16426.588,13472.102
6,257864,257864,23600544,35.354,73.692,335,397,83295.0,1368.0,1794.0,7225.211,4809.357,16544.549,13580.42
7,262334,262334,23622874,35.353,72.417,329,384,110262.0,1452.0,3022.0,7162.9033,4779.6157,16368.327,13382.013
8,271657,271657,23667911,35.27,74.244,123,288,83346.0,813.0,2005.0,7272.5894,4838.716,16657.457,13779.629
9,285207,285207,23735022,35.241,71.828,213,315,138648.0,1209.0,1300.0,7149.419,4760.7495,16218.662,13150.416
10,289822,289822,23757487,35.21,72.123,111,225,137320.0,1959.0,954.0,7160.328,4760.7495,16305.316,13239.284
11,303749,303749,23824953,35.103,73.825,226,358,117163.0,1464.0,3853.0,7242.3267,4828.4927,16575.38,13537.154
12,317313,317313,23892042,35.083,71.154,333,369,175153.0,1438.0,757.0,7128.2144,4771.2686,16126.227,13054.032
13,319746,319746,23903395,35.037,72.703,150,297,150915.0,1347.0,989.0,7200.492,4806.706,16365.763,13372.98
14,320268,320268,23903917,34.958,78.68,332,477,17337.0,711.0,558.0,7520.5586,4925.259,17392.553,14986.626
15,322009,322009,23914577,35.034,72.264,190,312,160354.0,1357.0,2901.0,7176.26,4806.706,16304.072,13247.59
16,324871,324871,23926358,34.933,78.692,254,450,20046.0,918.0,704.0,7520.5586,4925.259,17392.553,14986.626
17,328939,328939,23948263,34.991,72.57,219,370,160382.0,950.0,2446.0,7189.666,4806.706,16365.763,13356.541
18,333453,333453,23970612,34.988,71.517,225,341,181955.0,997.0,1319.0,7153.6494,4784.402,16204.422,13089.365
19,350025,350025,24049591,34.817,76.575,214,358,93026.0,907.0,1445.0,7455.6777,4920.579,17017.168,14277.434
20,354218,354218,24071612,34.872,71.765,117,287,194165.0,983.0,2144.0,7176.185,4796.1514,16209.091,13070.155
21,354703,354703,24072097,34.785,77.327,273,414,78186.0,773.0,2285.0,7486.6553,4935.8276,17153.822,14585.298
22,357095,357095,24083402,34.764,78.292,210,301,56584.0,586.0,677.0,7539.2236,4946.083,17269.508,14921.221
23,359233,359233,24094453,34.77,76.374,147,312,105198.0,799.0,426.0,7426.118,4920.579,16946.152,14256.398
24,361434,361434,24105566,34.774,75.155,302,378,134889.0,1205.0,1443.0,7376.8613,4897.1475,16774.422,13936.315
25,361513,361513,24105645,34.762,76.056,410,480,114652.0,1100.0,1786.0,7395.962,4916.1855,16900.496,14130.277
26,363817,363817,24116861,34.75,76.012,332,469,117357.0,1089.0,1146.0,7395.962,4916.1855,16895.506,14130.277
27,366317,366317,24128273,34.716,78.193,298,377,64703.0,713.0,708.0,7522.25,4948.5977,17269.508,14921.221
28,370494,370494,24150272,34.758,73.165,325,374,182105.0,1113.0,1873.0,7216.2783,4857.461,16459.133,13421.431
29,370807,370807,24150585,34.705,76.743,262,360,105227.0,497.0,609.0,7459.693,4928.907,17023.56,14218.666
30,372638,372638,24161327,34.784,71.257,155,333,217142.0,1027.0,2231.0,7160.147,4813.468,16120.821,12976.325
31,373149,373149,24161838,34.689,77.118,422,483,98484.0,663.0,1045.0,7476.0015,4933.1577,17121.838,14540.676
